Subj,Conditions,Mask,CorrVal
S076,target_Known,HPC,0.803336564530386
S076,target_Unknown,HPC,0.806302593987539
S076,target_baseline,HPC,0.92118708341868
S076,Known_Unknown,HPC,0.773570161966934
S076,Known_baseline,HPC,0.872861176138766
S076,Unknown_baseline,HPC,0.878930210840958
S092,target_Known,HPC,0.947384672668538
S092,target_Unknown,HPC,0.968016575464775
S092,target_baseline,HPC,0.991037853381092
S092,Known_Unknown,HPC,0.938227835074717
S092,Known_baseline,HPC,0.952759589461009
S092,Unknown_baseline,HPC,0.969417940423489
S093,target_Known,HPC,0.966817017276206
S093,target_Unknown,HPC,0.94758142701433
S093,target_baseline,HPC,0.988253931869739
S093,Known_Unknown,HPC,0.91526296379512
S093,Known_baseline,HPC,0.966121387163678
S093,Unknown_baseline,HPC,0.955016770028572
S095,target_Known,HPC,0.935281916542125
S095,target_Unknown,HPC,0.944361122077369
S095,target_baseline,HPC,0.960881604975053
S095,Known_Unknown,HPC,0.905621821357696
S095,Known_baseline,HPC,0.93184851072975
S095,Unknown_baseline,HPC,0.958395120829759
S097,target_Known,HPC,0.988833196890964
S097,target_Unknown,HPC,0.985441704210574
S097,target_baseline,HPC,0.996775826583617
S097,Known_Unknown,HPC,0.983303463930785
S097,Known_baseline,HPC,0.989221072457298
S097,Unknown_baseline,HPC,0.989354578154141
S098,target_Known,HPC,0.902735719108942
S098,target_Unknown,HPC,0.908627773704742
S098,target_baseline,HPC,0.95073174822132
S098,Known_Unknown,HPC,0.892859068199065
S098,Known_baseline,HPC,0.905688687380871
S098,Unknown_baseline,HPC,0.943726341288872
S099,target_Known,HPC,0.962971908737353
S099,target_Unknown,HPC,0.984767900683932
S099,target_baseline,HPC,0.988786464288961
S099,Known_Unknown,HPC,0.96502888045717
S099,Known_baseline,HPC,0.969483442608865
S099,Unknown_baseline,HPC,0.981898612225236
S123,target_Known,HPC,0.805153329296743
S123,target_Unknown,HPC,0.622219679604174
S123,target_baseline,HPC,0.838490363972527
S123,Known_Unknown,HPC,0.466752248994325
S123,Known_baseline,HPC,0.718831359841285
S123,Unknown_baseline,HPC,0.483729467035371
S124,target_Known,HPC,0.841853576536589
S124,target_Unknown,HPC,0.81702434429583
S124,target_baseline,HPC,0.925247475793157
S124,Known_Unknown,HPC,0.744359282609587
S124,Known_baseline,HPC,0.864658282568665
S124,Unknown_baseline,HPC,0.804351825278216
S141,target_Known,HPC,0.901478977756272
S141,target_Unknown,HPC,0.952341478030307
S141,target_baseline,HPC,0.959143923472829
S141,Known_Unknown,HPC,0.908492471822938
S141,Known_baseline,HPC,0.930137974920851
S141,Unknown_baseline,HPC,0.977143530586078
S153,target_Known,HPC,0.850746217473598
S153,target_Unknown,HPC,0.951627226841209
S153,target_baseline,HPC,0.964625390772612
S153,Known_Unknown,HPC,0.879722918653641
S153,Known_baseline,HPC,0.908105363406572
S153,Unknown_baseline,HPC,0.966167770166032
S154,target_Known,HPC,0.71432978466949
S154,target_Unknown,HPC,0.863327955669407
S154,target_baseline,HPC,0.868847055566195
S154,Known_Unknown,HPC,0.655652497580677
S154,Known_baseline,HPC,0.845046173061636
S154,Unknown_baseline,HPC,0.802230094544186
S155,target_Known,HPC,0.899335763517989
S155,target_Unknown,HPC,0.947735124416739
S155,target_baseline,HPC,0.942329294765671
S155,Known_Unknown,HPC,0.863693119776516
S155,Known_baseline,HPC,0.931553091041638
S155,Unknown_baseline,HPC,0.902494578011705
S156,target_Known,HPC,0.772299396095593
S156,target_Unknown,HPC,0.736723392397669
S156,target_baseline,HPC,0.660961540272401
S156,Known_Unknown,HPC,0.705816135800852
S156,Known_baseline,HPC,0.788407284593054
S156,Unknown_baseline,HPC,0.523359682077631
S157,target_Known,HPC,0.864257720406351
S157,target_Unknown,HPC,0.845391054729034
S157,target_baseline,HPC,0.883386881220445
S157,Known_Unknown,HPC,0.859400547666989
S157,Known_baseline,HPC,0.922352520696672
S157,Unknown_baseline,HPC,0.901700533377504
S158,target_Known,HPC,0.84928607128857
S158,target_Unknown,HPC,0.869757445845324
S158,target_baseline,HPC,0.730364529484911
S158,Known_Unknown,HPC,0.83584662342364
S158,Known_baseline,HPC,0.647079327706094
S158,Unknown_baseline,HPC,0.554771368942092
S165,target_Known,HPC,0.864001534657404
S165,target_Unknown,HPC,0.882617799703591
S165,target_baseline,HPC,0.907664179310672
S165,Known_Unknown,HPC,0.77497596771239
S165,Known_baseline,HPC,0.924231154125795
S165,Unknown_baseline,HPC,0.871536534624966
S166,target_Known,HPC,0.955303440637784
S166,target_Unknown,HPC,0.96025486617383
S166,target_baseline,HPC,0.980560302133121
S166,Known_Unknown,HPC,0.913572221778284
S166,Known_baseline,HPC,0.952746888809971
S166,Unknown_baseline,HPC,0.974221373964541
S169,target_Known,HPC,0.796184949708452
S169,target_Unknown,HPC,0.890377953194253
S169,target_baseline,HPC,0.821480085509305
S169,Known_Unknown,HPC,0.798464589683611
S169,Known_baseline,HPC,0.862708053621147
S169,Unknown_baseline,HPC,0.805513406601738
S190,target_Known,HPC,0.852883908202469
S190,target_Unknown,HPC,0.895379299946696
S190,target_baseline,HPC,0.94631111077462
S190,Known_Unknown,HPC,0.784828444248936
S190,Known_baseline,HPC,0.884597794507905
S190,Unknown_baseline,HPC,0.921350466716803
S195,target_Known,HPC,0.996859848123132
S195,target_Unknown,HPC,0.995241940189324
S195,target_baseline,HPC,0.997440685150653
S195,Known_Unknown,HPC,0.993575318542338
S195,Known_baseline,HPC,0.996877505117927
S195,Unknown_baseline,HPC,0.997367220581689
S196,target_Known,HPC,0.895137306345939
S196,target_Unknown,HPC,0.894440189685055
S196,target_baseline,HPC,0.936882469920957
S196,Known_Unknown,HPC,0.837550846016029
S196,Known_baseline,HPC,0.911973204055057
S196,Unknown_baseline,HPC,0.910971451114622
S199,target_Known,HPC,0.934386072040406
S199,target_Unknown,HPC,0.960918285457938
S199,target_baseline,HPC,0.983507148794381
S199,Known_Unknown,HPC,0.915741496529061
S199,Known_baseline,HPC,0.929014947338819
S199,Unknown_baseline,HPC,0.966545746661496
S206,target_Known,HPC,0.887949170567347
S206,target_Unknown,HPC,0.88821097739051
S206,target_baseline,HPC,0.95993830636949
S206,Known_Unknown,HPC,0.788354498923043
S206,Known_baseline,HPC,0.933651394929915
S206,Unknown_baseline,HPC,0.858771178959298
S208,target_Known,HPC,0.83911144796874
S208,target_Unknown,HPC,0.635165919811374
S208,target_baseline,HPC,0.92664340305863
S208,Known_Unknown,HPC,0.645864256362758
S208,Known_baseline,HPC,0.858133002051523
S208,Unknown_baseline,HPC,0.734807586386896
S209,target_Known,HPC,0.835849464747309
S209,target_Unknown,HPC,0.78940137559158
S209,target_baseline,HPC,0.903318456677728
S209,Known_Unknown,HPC,0.60935164594116
S209,Known_baseline,HPC,0.822907920460792
S209,Unknown_baseline,HPC,0.822214417123915
S210,target_Known,HPC,0.948933257891183
S210,target_Unknown,HPC,0.964335210743619
S210,target_baseline,HPC,0.982580183226277
S210,Known_Unknown,HPC,0.914394586250129
S210,Known_baseline,HPC,0.95323407594989
S210,Unknown_baseline,HPC,0.975679684523274
S216,target_Known,HPC,0.871852038577983
S216,target_Unknown,HPC,0.799624400858705
S216,target_baseline,HPC,0.915490409872229
S216,Known_Unknown,HPC,0.769531995077374
S216,Known_baseline,HPC,0.924926949884677
S216,Unknown_baseline,HPC,0.806431121773532
S218,target_Known,HPC,0.827406645173715
S218,target_Unknown,HPC,0.877764459946273
S218,target_baseline,HPC,0.882682052205241
S218,Known_Unknown,HPC,0.737082753619603
S218,Known_baseline,HPC,0.84021250209238
S218,Unknown_baseline,HPC,0.79370464016415
S219,target_Known,HPC,0.744316469607276
S219,target_Unknown,HPC,0.833216431154333
S219,target_baseline,HPC,0.681540852553272
S219,Known_Unknown,HPC,0.706143835911074
S219,Known_baseline,HPC,0.795760945624886
S219,Unknown_baseline,HPC,0.735601798816007
S220,target_Known,HPC,0.909734722828697
S220,target_Unknown,HPC,0.916356353343745
S220,target_baseline,HPC,0.903871674445865
S220,Known_Unknown,HPC,0.876819183289935
S220,Known_baseline,HPC,0.890161319388339
S220,Unknown_baseline,HPC,0.922108678168455
S221,target_Known,HPC,0.802678441475981
S221,target_Unknown,HPC,0.810133652855277
S221,target_baseline,HPC,0.910370790233548
S221,Known_Unknown,HPC,0.616422332599667
S221,Known_baseline,HPC,0.870559325598217
S221,Unknown_baseline,HPC,0.761046383056157
S228,target_Known,HPC,0.828810981210231
S228,target_Unknown,HPC,0.86959490977921
S228,target_baseline,HPC,0.874215571762791
S228,Known_Unknown,HPC,0.81937514721701
S228,Known_baseline,HPC,0.84761696883404
S228,Unknown_baseline,HPC,0.770963230918634
S230,target_Known,HPC,0.78759853070739
S230,target_Unknown,HPC,0.751645531780656
S230,target_baseline,HPC,0.821505950132852
S230,Known_Unknown,HPC,0.709843429166555
S230,Known_baseline,HPC,0.795419078805059
S230,Unknown_baseline,HPC,0.892198481942029
S232,target_Known,HPC,0.761688099272413
S232,target_Unknown,HPC,0.845709644279343
S232,target_baseline,HPC,0.92260985456206
S232,Known_Unknown,HPC,0.777023514770024
S232,Known_baseline,HPC,0.787657082055585
S232,Unknown_baseline,HPC,0.891951094393089
S233,target_Known,HPC,0.836297246679311
S233,target_Unknown,HPC,0.864500974447845
S233,target_baseline,HPC,0.879254477309503
S233,Known_Unknown,HPC,0.70461311196197
S233,Known_baseline,HPC,0.85521989139318
S233,Unknown_baseline,HPC,0.846861154695333
S234,target_Known,HPC,0.863234458225463
S234,target_Unknown,HPC,0.837298293291039
S234,target_baseline,HPC,0.900656333648256
S234,Known_Unknown,HPC,0.709049735366259
S234,Known_baseline,HPC,0.887256318641922
S234,Unknown_baseline,HPC,0.771147048566232
S235,target_Known,HPC,0.901293847225421
S235,target_Unknown,HPC,0.860668294696373
S235,target_baseline,HPC,0.951452956370026
S235,Known_Unknown,HPC,0.780673547374825
S235,Known_baseline,HPC,0.890622848866241
S235,Unknown_baseline,HPC,0.886374581404102
S239,target_Known,HPC,0.97145771134913
S239,target_Unknown,HPC,0.948711137294223
S239,target_baseline,HPC,0.978287454294535
S239,Known_Unknown,HPC,0.942439238738867
S239,Known_baseline,HPC,0.971909245416992
S239,Unknown_baseline,HPC,0.954562827321092
S240,target_Known,HPC,0.778866915264002
S240,target_Unknown,HPC,0.918013638281851
S240,target_baseline,HPC,0.853822022299978
S240,Known_Unknown,HPC,0.720585833266283
S240,Known_baseline,HPC,0.780275344815853
S240,Unknown_baseline,HPC,0.823535419475076
S242,target_Known,HPC,0.860144144526795
S242,target_Unknown,HPC,0.778765166726817
S242,target_baseline,HPC,0.92533711907841
S242,Known_Unknown,HPC,0.660003446356175
S242,Known_baseline,HPC,0.903131452526251
S242,Unknown_baseline,HPC,0.790761374077804
